               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.018081,           0.0039866,           0.0039881,             0.99733,             0.99846,              0.9942,             0.86475,            0.010525,           0.0059461,           0.0038584,            0.008886,            0.008886,            0.008886
                  66,            0.018245,           0.0040119,           0.0041946,             0.99677,             0.99779,             0.99416,             0.86101,            0.010416,           0.0060819,            0.003957,           0.0088711,           0.0088711,           0.0088711
                  67,            0.018355,           0.0042564,           0.0045545,             0.99592,              0.9972,             0.99415,             0.85558,            0.010839,           0.0064296,           0.0039334,           0.0088562,           0.0088562,           0.0088562
                  68,            0.018381,            0.004249,           0.0043711,             0.99686,             0.99882,             0.99405,             0.85497,             0.01091,           0.0064387,           0.0036118,           0.0088412,           0.0088412,           0.0088412
                  69,            0.018489,           0.0043198,            0.004528,             0.99593,              0.9987,             0.99412,             0.85795,            0.010794,           0.0064473,            0.003579,           0.0088263,           0.0088263,           0.0088263
                  70,            0.018533,           0.0045059,           0.0046822,             0.99671,             0.99826,             0.99412,             0.85631,            0.010987,           0.0065804,           0.0036197,           0.0088114,           0.0088114,           0.0088114
                  71,            0.018861,           0.0045925,           0.0048033,             0.99635,              0.9966,             0.99417,             0.85122,            0.010936,           0.0067515,           0.0036172,           0.0087965,           0.0087965,           0.0087965
                  72,            0.018756,            0.004521,           0.0045324,             0.99467,             0.99634,             0.99417,             0.84887,            0.011121,           0.0069531,           0.0036501,           0.0087816,           0.0087816,           0.0087816
                  73,            0.018886,           0.0044852,           0.0042027,              0.9966,             0.99848,             0.99414,             0.85571,            0.010719,            0.006657,           0.0034112,           0.0087667,           0.0087667,           0.0087667
                  74,            0.018197,           0.0044292,           0.0038652,             0.99672,             0.99851,             0.99412,              0.8592,             0.01067,           0.0065037,           0.0032951,           0.0087518,           0.0087518,           0.0087518
